
---------- Begin Simulation Statistics ----------
simSeconds                                   0.191666                       # Number of seconds simulated (Second)
system.cpu.intAluAccesses                   464197260                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                   1177892504                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                     34444                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                            1101                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          124590                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads      217493997                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      86852775                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads     15211920                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores         1698                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions      4004689                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1           2000001                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2           1004622                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3           1000101                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4                57                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5                57                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                 7                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7                 4                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 2                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1          4000014                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2          2014815                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3          2000355                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4              342                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5              385                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6               13                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7                7                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8               56                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__1.correctPredictions            0                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__1.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__1.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__1.readsPath1                 0                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__1.readsPath2                 0                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__1.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__1.readsPath4                 0                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__1.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__1.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__1.readsPath7                 0                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__1.readsPath8                 0                       # Number of reads to path table 8. (Count)
