
---------- Begin Simulation Statistics ----------
simSeconds                                   0.191637                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__0.conflictingStores         1653                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.falseDependencies           11                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__0.correctPredictions     14212886                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1          12140059                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2           1006498                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3           1062798                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4              2576                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5                40                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                18                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7              1160                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 2                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1         32142946                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2          2019081                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3          3063086                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4             7191                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5              304                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6               39                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7             2660                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                3                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
